package,test,tracker_id,reason
max/kernels/test/gpu/nn,test_argmaxmin_gpu.mojo,MOCO-2397,(no reason given)
max/kernels/test/gpu/nn,test_argmax_streaming_gpu.mojo,MOCO-2397,same argmax path as test_argmaxmin_gpu.mojo
max/kernels/test/gpu/nn,test_gather_nd_oob.mojo,MOCO-2366,(no reason given)
max/kernels/test/gpu/nn,test_mha_tile_scheduler.mojo,MOCO-2405,(no reason given)
max/kernels/test/gpu/nn,test_argsort.mojo,MOCO-2366,(no reason given)
max/kernels/test/gpu/nn,test_mha_mask.mojo,KERN-2031,(no reason given)
max/kernels/test/gpu/nn,test_softmax.mojo,PRDT-506,(no reason given)
max/kernels/test/gpu/nn,test_flash_attention.mojo,MOCO-3049,(no reason given)
max/kernels/test/gpu/nn,test_padding_gpu.mojo,GEX-2562,(no reason given)
max/kernels/test/gpu/nn,test_moe_indices.mojo,MOCO-2489,(no reason given)
max/kernels/test/gpu/nn,test_fused_qk_rope.mojo,MOCO-3104,(no reason given)
max/kernels/test/gpu/nn,test_fused_qk_rope_ragged.mojo,MOCO-3104,(no reason given)
max/kernels/test/gpu/nn,test_gemv_partial_norm.mojo,,(no reason given)
max/kernels/test/gpu/nn,test_rope_split_store.mojo,,(no reason given)
max/kernels/test/gpu/nn,test_rms_norm_rope.mojo,KERN-3390,"Row rms_norm_rope writes all zeros on Metal, at every tier."
max/kernels/test/gpu/nn,test_layer_norm_rope_ragged.mojo,KERN-3390,(no reason given)
max/kernels/test/gpu/nn,test_pool_gpu.mojo,,(no reason given)
max/kernels/test/gpu/nn,test_warp_bitonic_sort.mojo,,Block-wide bitonic sort top-k (topk_bitonic.mojo) — same constraint as above.
max/kernels/test/gpu/nn,test_topk_bitonic.mojo,,(no reason given)
max/kernels/test/gpu/nn,test_scatter_set_constant.mojo,PRDT-506,(no reason given)
max/kernels/test/gpu/nn,test_apply_packed_bitmask.mojo,,(no reason given)
max/kernels/test/gpu/nn,test_tpool_patch_merger.mojo,,(no reason given)
max/kernels/test/gpu/nn,test_learnable_2d_interp_pos_emb.mojo,,(no reason given)
max/kernels/test/gpu/nn,test_group_norm.mojo,MOCO-3587,Metal compilation failure
max/kernels/test/gpu/nn,test_topk_gpu.mojo,,Apple GPU shared memory limit (32768) exceeded by second stage top-k kernel
max/kernels/test/gpu/nn,test_toppminp_gpu.mojo,MOCO-3650,NaN in BFloat16 top-p sampling on Apple GPU
max/kernels/test/gpu/nn,test_concat.mojo,MOCO-2411,segfaults on Apple GPU remote workers
max/kernels/test/gpu/quantization,test_scaled_fp8_quantization.mojo,,(no reason given)
max/kernels/test/gpu/state_space,test_causal_conv1d.mojo,,(no reason given)
max/kernels/test/gpu/state_space,test_causal_conv1d_update.mojo,,(no reason given)
max/kernels/test/gpu/state_space,test_varlen_causal_conv1d.mojo,,(no reason given)
max/kernels/test/gpu/state_space,test_selective_scan.mojo,,(no reason given)
max/kernels/test/gpu/state_space,test_varlen_selective_scan.mojo,,(no reason given)
max/kernels/test/gpu/state_space,test_mamba_split_conv1d_scan_combined.mojo,,(no reason given)
max/kernels/test/gpu/state_space,test_rms_norm_fused_residual.mojo,,(no reason given)
max/kernels/test/gpu/state_space,test_ssd_combined.mojo,,(no reason given)
max/kernels/test/gpu/state_space,test_gated_delta.mojo,,(no reason given)
max/kernels/test/gpu/state_space,test_gated_delta_conv1d.mojo,,(no reason given)
